date,min,max,avg,condition
1/1/2000,50.5,58.1,54.3,"Rain, Overcast"
1/2/2000,49.2,59,55.2,Partially cloudy
1/3/2000,43.9,65.7,53.7,Clear
1/4/2000,45.9,65.5,55.4,Clear
1/5/2000,45.6,62.9,53.2,Clear
1/6/2000,43.8,66.6,54.3,Clear
1/7/2000,44.7,63.1,54.1,Partially cloudy
1/8/2000,42.8,60.3,51.7,Partially cloudy
1/9/2000,42.8,63.2,53.2,Partially cloudy
1/10/2000,44.5,62.1,53.2,Clear
1/11/2000,46.9,57.9,53.3,Partially cloudy
1/12/2000,53,61.1,56.1,Partially cloudy
1/13/2000,48.5,70,59,Partially cloudy
1/14/2000,52.5,75.3,62.7,Partially cloudy
1/15/2000,55.8,67.6,60.4,Partially cloudy
1/16/2000,53,65.6,58.8,"Rain, Overcast"
1/17/2000,59,74,65.4,Overcast
1/18/2000,59.7,73.4,66.4,Overcast
1/19/2000,55.8,72.7,62.6,Partially cloudy
1/20/2000,58.3,68.9,61.3,Partially cloudy
1/21/2000,56.2,61.5,58.6,Overcast
1/22/2000,53.5,62,57.2,Partially cloudy
1/23/2000,48,65,57.5,Partially cloudy
1/24/2000,57.5,75.1,64.9,Partially cloudy
1/25/2000,57.3,62.7,60.3,"Rain, Overcast"
1/26/2000,50.1,62.1,58.2,"Rain, Partially cloudy"
1/27/2000,47.3,63.6,55.3,Rain
1/28/2000,46.9,60.6,54.3,Partially cloudy
1/29/2000,47.6,61,55.2,Partially cloudy
1/30/2000,51.8,61.1,57.3,Overcast
1/31/2000,53.6,61,57.7,"Rain, Overcast"
2/1/2000,49.3,70.4,59.7,Rain
2/2/2000,56.3,82.2,67.4,Rain
2/3/2000,50.6,72.7,60.5,Clear
2/4/2000,51.2,63.6,58.3,Partially cloudy
2/5/2000,56.2,63.4,59.4,"Rain, Overcast"
2/6/2000,53.5,66.5,58.8,Partially cloudy
2/7/2000,50.1,72,58.1,Partially cloudy
2/8/2000,56,68.2,60.9,Overcast
2/9/2000,53.6,61.6,58,Partially cloudy
2/10/2000,54.9,61.6,57.6,"Rain, Overcast"
2/11/2000,54,62,57.6,"Rain, Overcast"
2/12/2000,55.1,61.6,58,"Rain, Overcast"
2/13/2000,54.3,61,57.4,"Rain, Overcast"
2/14/2000,56.9,62,58.9,"Rain, Overcast"
2/15/2000,54.2,63.6,58.7,Overcast
2/16/2000,55.8,62.8,58.4,"Rain, Overcast"
2/17/2000,46.5,58.9,55.6,"Rain, Partially cloudy"
2/18/2000,46.7,62.1,55,Partially cloudy
2/19/2000,53.7,75.3,63.1,Overcast
2/20/2000,55.2,63.7,60.1,"Rain, Overcast"
2/21/2000,51.9,59.7,54.9,"Rain, Overcast"
2/22/2000,50.2,61.6,56.2,"Rain, Partially cloudy"
2/23/2000,53.6,60.4,55.9,"Rain, Overcast"
2/24/2000,53.1,57.6,55,"Rain, Overcast"
2/25/2000,51.5,60.9,55.5,Overcast
2/26/2000,49.9,62.9,56.4,Partially cloudy
2/27/2000,53,59.9,55.9,"Rain, Overcast"
2/28/2000,53.5,59.7,56.4,"Rain, Partially cloudy"
2/29/2000,48.5,61,54.9,Partially cloudy
3/1/2000,53.1,59.9,56.3,"Rain, Partially cloudy"
3/2/2000,49.3,62.8,56.2,Partially cloudy
3/3/2000,50.1,57.7,55.7,"Rain, Overcast"
3/4/2000,51.3,60,54.9,"Rain, Overcast"
3/5/2000,49.8,58.9,53.8,"Rain, Overcast"
3/6/2000,45.5,57.6,51.7,"Rain, Partially cloudy"
3/7/2000,49.3,57.7,53.2,"Rain, Overcast"
3/8/2000,49.8,58.4,54.8,"Rain, Overcast"
3/9/2000,46.1,61.1,53.9,Partially cloudy
3/10/2000,47.9,64.3,57.2,Clear
3/11/2000,50.7,70.8,61.6,Partially cloudy
3/12/2000,51.9,63.1,57.8,Partially cloudy
3/13/2000,55.4,61.1,57.7,Partially cloudy
3/14/2000,52.8,66.4,57.8,Partially cloudy
3/15/2000,53.5,62.9,56.8,Overcast
3/16/2000,55.2,61.1,57.6,Overcast
